scenario,group,seed,pop,trait,n_gwas,rg,frac_shared_causal,n_pop,n_trait,rho_pheno,h2,method,phi_mode,phi,corr,time_s
h2_0.1,h2_sweep,17,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.34434298116193174,50.2
h2_0.1,h2_sweep,17,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8500063181867765,74.4
h2_0.1,h2_sweep,17,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7339756420856832,50.2
h2_0.1,h2_sweep,17,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5670250770819019,74.4
h2_0.1,h2_sweep,17,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.4069348473546003,50.2
h2_0.1,h2_sweep,17,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8486960201062859,71.8
h2_0.1,h2_sweep,17,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7089163465785145,50.2
h2_0.1,h2_sweep,17,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.5991321572097749,71.8
h2_0.1,h2_sweep,17,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.40644339151611686,50.2
h2_0.1,h2_sweep,17,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8501960020356275,71.8
h2_0.1,h2_sweep,17,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7373498979907508,50.2
h2_0.1,h2_sweep,17,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6365658587047425,71.8
h2_0.1,h2_sweep,17,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.4358215234510488,50.2
h2_0.1,h2_sweep,18,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8615438259263317,73.7
h2_0.1,h2_sweep,18,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7944375236498193,49.7
h2_0.1,h2_sweep,18,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5850171809048551,73.7
