scenario,group,rg,frac_shared_causal,pop,trait,phi_mode,seed,corr_prscsx,corr_prscsx_mt,delta
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,6,0.866812114597516,0.7939236039125409,-0.07288851068497504
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,7,0.8738182867238997,0.7761132626884184,-0.09770502403548131
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,8,0.8688092459606945,0.7757566014971367,-0.09305264446355788
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,9,0.8740025103446345,0.742520542151029,-0.13148196819360547
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,1,0.6421316257361308,0.4660877259392332,-0.1760438997968976
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,10,0.6179083030173422,0.490398079097864,-0.12751022391947825
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,11,0.5921355323509851,0.35867067118642737,-0.23346486116455778
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,12,0.6368829778933786,0.5049094235832532,-0.13197355431012536
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,13,0.6577796193941611,0.5196077440695593,-0.13817187532460173
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,14,0.5639433439971809,0.36915904332407246,-0.19478430067310848
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,15,0.6304079319038888,0.5262760527716583,-0.10413187913223043
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,16,0.6888391994521222,0.49766657566682965,-0.1911726237852926
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,17,0.5991321572097749,0.40644339151611686,-0.192688765693658
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,18,0.6004046895299027,0.46156181672245117,-0.1388428728074515
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,19,0.6252435406701089,0.4179811775953664,-0.2072623630747425
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,2,0.6460013338607137,0.47797117394224486,-0.1680301599184688
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,20,0.632697300019396,0.5177323588834928,-0.11496494113590316
h2_0.1,h2_sweep,0.6,1.0,EUR,1,fixed,21,0.6238320848346586,0.48763336632853893,-0.13619871850611964
